(   
( -1 0 )
( -0.999924702 -0.0003700175 )
( -0.99969882 -0.0015164986 )
( -0.99932238 -0.0035375591 )
( -0.9987955 -0.0065806762 )
( -0.9981181 -0.0108047978 )
( -0.9972905 -0.0163204642 )
( -0.9963126 -0.0231306621 )
( -0.9951847 -0.0310962329 )
( -0.993907 -0.0399814193 )
( -0.9924795 -0.0495165647 )
( -0.9909026 -0.0594801451 )
( -0.989177 -0.0696975906 )
( -0.987301 -0.0800446426 )
( -0.985278 -0.0904096996 )
( -0.983105 -0.1006908664 )
( -0.980785 -0.1107972588 )
( -0.978317 -0.1206678741 )
( -0.975702 -0.1302602281 )
( -0.97294 -0.139559689 )
( -0.970031 -0.1485624534 )
( -0.966976 -0.1572686832 )
( -0.963776 -0.1656809437 )
( -0.960431 -0.173792422 )
( -0.95694 -0.1816041578 )
( -0.953306 -0.1890938384 )
( -0.949528 -0.1962441413 )
( -0.945607 -0.2030397361 )
( -0.941544 -0.2094649445 )
( -0.937339 -0.2155132443 )
( -0.932993 -0.2211791608 )
( -0.928506 -0.2264774856 )
( -0.92388 -0.2313990534 )
( -0.919114 -0.2359512354 )
( -0.91421 -0.2401565481 )
( -0.909168 -0.2440476359 )
( -0.903989 -0.2476453413 )
( -0.89867 -0.2509979849 )
( -0.89322 -0.2541367552 )
( -0.88764 -0.2570842451 )
( -0.88192 -0.2598290335 )
( -0.87607 -0.262344374 )
( -0.87009 -0.264625699 )
( -0.86397 -0.2666731107 )
( -0.85773 -0.2685228126 )
( -0.85136 -0.2701810119 )
( -0.84485 -0.2716555492 )
( -0.83822 -0.2729547152 )
( -0.83147 -0.2740754743 )
( -0.82459 -0.2750587048 )
( -0.81758 -0.2759452228 )
( -0.81046 -0.2767469193 )
( -0.80321 -0.2774165661 )
( -0.79584 -0.2779085015 )
( -0.78835 -0.2782477397 )
( -0.78074 -0.2784803529 )
( -0.77301 -0.2786874142 )
( -0.76517 -0.2789187338 )
( -0.75721 -0.279188872 )
( -0.74914 -0.2795081473 )
( -0.74095 -0.2797912969 )
( -0.73265 -0.2799947383 )
( -0.72425 -0.2800740582 )
( -0.71573 -0.2800428637 )
( -0.70711 -0.2799646284 )
( -0.69838 -0.2798920547 )
( -0.68954 -0.2798104201 )
( -0.6806 -0.2796828224 )
( -0.67156 -0.2795352963 )
( -0.66242 -0.2794085901 )
( -0.65317 -0.2792621831 )
( -0.64383 -0.2790635567 )
( -0.63439 -0.2788769636 )
( -0.62486 -0.2788154919 )
